filename,width,height,class,xmin,ymin,xmax,ymax
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,bt_keyhole,76,105,225,142
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,close,85,151,225,185
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,open,83,190,225,227
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,SB,227,147,342,181
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,alarm,227,187,340,221
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,4,88,250,226,285
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,3,227,241,338,275
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,2,91,288,225,323
711_jpg.rf.002d0ff41e02c7add25b431b4eda65a9.jpg,416,416,1,225,275,336,310
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,2,131,88,161,147
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,1,135,199,163,253
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,G,140,294,166,341
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,text_stop,241,84,270,143
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,text_alarm,277,85,305,140
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,keyhole,243,216,261,245
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,text,271,191,297,241
579_jpg.rf.0092595c4e9c825b7e245308e16bf2e3.jpg,416,416,keyhole,239,248,258,279
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,led,168,30,225,137
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,alarm,187,226,201,236
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,20,201,254,219,270
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,19,171,252,188,266
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,18,200,273,220,289
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,17,172,270,187,284
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,16,201,293,218,308
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,15,172,289,188,303
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,13,201,311,218,327
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,12,172,307,187,322
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,11,201,331,219,347
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,UG,171,326,187,340
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,close,201,361,218,377
1707_jpg.rf.021208ccbd25fdc37fc7f464cf66c6fa.jpg,416,416,open,168,354,191,371
641_jpg.rf.0008424ff0d60e75077ea76c423c2288.jpg,416,416,up,186,216,220,265
641_jpg.rf.0008424ff0d60e75077ea76c423c2288.jpg,416,416,down,185,270,220,320
641_jpg.rf.0008424ff0d60e75077ea76c423c2288.jpg,416,416,keyhole,192,332,211,365
709_jpg.rf.0195f4e2d82d6ac95a249a4b30475524.jpg,416,416,7,132,138,195,246
709_jpg.rf.0195f4e2d82d6ac95a249a4b30475524.jpg,416,416,8,215,126,270,230
